product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,product_link
B00MW8G62E,"Amazon Basics Dog and Puppy Pee Pads with Leak-Proof Quick-Dry Design for Potty Training, Standard Absorbency, Regular Size, 22 x 22 Inches, Pack of 100, Blue & White",Pet_Supplies,20.99,,,4.5,256900,"INCLUDES: 100 Regular-size standard-absorbency puppy pee pads; ideal for puppy training, senior dogs, car trips, and more 5-LAYER PROTECTION: Multi-layer construction with quick-dry surface and absorbent core that turns liquid into gel on contact LEAKPROOF: Plastic lining keeps floors safe from damage; plastic border on all 4 sides to prevent overflow BUILT-IN ATTRACTANT: Helps aid in potty training PRODUCT DIMENSIONS: 22 x 22 inches (LxW, overall); 19 x 19 inches (LxW, center pad); 1.65 inch border",https://www.amazon.com/Amazon-Basics-Leak-Proof-Quick-Dry-Absorbency/dp/B00MW8G62E/ref=sr_1_1?dib=eyJ2IjoiMSJ9.AdPrai-FEnkWqZkJj9V8SH-FitNX88HYPKpvemREOqH3EYimuZ9gy5jx5o3Un97B4N_JkGcZFTzryFvihVGefzhsRbJZ4fOcu0x2caZyyrKpNWamsfHmT713B7h6RO6sKnQT-j9udTSMnczvxej9Up2T-0MxF_vuWo2qOFvhxB1wRgMCKXSyf4agyVaL9ulp5BNZswukZC3JkCP4c-rSkkwtGrnaUB4fEi7zRvrKCyoCSyLwQ-I4Knl3-0obfAbOwgSOgCFbIqGes3SNtzM0WYK0zIYpTHIdFErQIz0ZQQ0.p5_kZwBYkwUAlPjAPo2N9q8URNe2oBk4qW6Rbkqgnxs&dib_tag=se&keywords=pet+supplies&qid=1746193844&sr=8-1
B0CLLPVZRV,"Swihauk Self Cleaning Slicker Brush - Skin Friendly Deshedding Grooming Tool for Dogs & Cats, Suitable for Shedding & Haired Pets, with Pet Supplies Accessories, Blue",Pet_Supplies,16.99,9.98,-70.2,4.6,7157,"【Easy Desheding】: Swihauk self cleaning dog brush for long haired dogs with release bottom helps effortlessly reduce shedding. A must have dog brush for short haired dogs, cat brush for indoor cats, cat brush for shedding, slicker brush for dogs. 【Safe Design】: Soft and protective plastic round head bristles creating a comfortable feeling while deshedding without hurting your pet. Ideal puppy brush for small dogs, dog brush for shedding and grooming. 【Sturdy & Durable】: Premium stainless steel metal and compact design make our product sturdy and durable for long term use. 【Ergonomic Design】: Press bottom for easy cleaning, high-quality & lightweight TPR handle make your grooming effortlessly. 【Effective to Remove Loose Fur】: Swihauk pet grooming brush is effective to remove loose fur, suitable for dogs, cat with long and short hair, perfect for your lovely pet like puppies, golden retriever, rabbit, kitten, bunny, yokie and more.",https://www.amazon.com/Swihauk-Cleaning-Friendly-Grooming-Deshedding/dp/B0CLLPVZRV/ref=sr_1_3?dib=eyJ2IjoiMSJ9.AdPrai-FEnkWqZkJj9V8SH-FitNX88HYPKpvemREOqH3EYimuZ9gy5jx5o3Un97B4N_JkGcZFTzryFvihVGefzhsRbJZ4fOcu0x2caZyyrKpNWamsfHmT713B7h6RO6sKnQT-j9udTSMnczvxej9Up2T-0MxF_vuWo2qOFvhxB1wRgMCKXSyf4agyVaL9ulp5BNZswukZC3JkCP4c-rSkkwtGrnaUB4fEi7zRvrKCyoCSyLwQ-I4Knl3-0obfAbOwgSOgCFbIqGes3SNtzM0WYK0zIYpTHIdFErQIz0ZQQ0.p5_kZwBYkwUAlPjAPo2N9q8URNe2oBk4qW6Rbkqgnxs&dib_tag=se&keywords=pet+supplies&qid=1746193844&sr=8-3
B09ZLSR8PH,"Best Pet Supplies Dog Poop Bags for Waste (150 Bags) Refuse Cleanup, Doggy Roll Replacements for Outdoor Puppy Walking and Travel, Leak Proof and Tear Resistant, Thick Plastic - Assorted Colors",Pet_Supplies,6.99,,,4.8,48388,"Leak-Resistant All-Purpose Poop Bags – Designed with rip-resistant technology that holds up to those big, smelly messes our poop bags are perfect for owners who love taking their dog or puppy to the park, on long walks, or trips around town Portable Pet Waste Solution - Our dog poop bag roll is specifically designed to accompany you on walks or visits to the park, ensuring convenient disposal of pet waste. Additionally, these versatile bags can be utilized for disposing of car trash and storing dirty laundry while traveling. Quick Cleanup Made Easy – Our versatile doggy poop bags are thicker, more durable, and feature easy-tear perforations to make it easier to pull a single one away from the roll. This means less time standing around and more time cleaning up Supports Small to Large Breed Dogs – These durable dog poop bags are 13” x 9” in size which make it easier to pick up and safely store messy feces and deposits for all types of breeds, including chihuahuas to boxers to Labradors Trusted Quality Assurance – Here at Best Pet Supplies we make pet poop bags and pet accessories that support owners and their four-legged friends. If you have any questions, please reach out and we’ll provide fast, reliable support",https://www.amazon.com/Best-Pet-Supplies-Replacements-Resistant/dp/B09ZLSR8PH/ref=sr_1_4?dib=eyJ2IjoiMSJ9.AdPrai-FEnkWqZkJj9V8SH-FitNX88HYPKpvemREOqH3EYimuZ9gy5jx5o3Un97B4N_JkGcZFTzryFvihVGefzhsRbJZ4fOcu0x2caZyyrKpNWamsfHmT713B7h6RO6sKnQT-j9udTSMnczvxej9Up2T-0MxF_vuWo2qOFvhxB1wRgMCKXSyf4agyVaL9ulp5BNZswukZC3JkCP4c-rSkkwtGrnaUB4fEi7zRvrKCyoCSyLwQ-I4Knl3-0obfAbOwgSOgCFbIqGes3SNtzM0WYK0zIYpTHIdFErQIz0ZQQ0.p5_kZwBYkwUAlPjAPo2N9q8URNe2oBk4qW6Rbkqgnxs&dib_tag=se&keywords=pet+supplies&qid=1746193844&sr=8-4
B0BX5ZT7FN,Pet Feeding Mat-Absorbent Dog Mat for Food and Water Bowl-No Stains Quick Dry Dog Water Dispenser Mat-Dog Accessories Pet Supplies-Dog Water Bowl for Messy Drinkers,Pet_Supplies,7.99,9.99,20.0,4.5,4804,"Super Absorbent & Durable: Perfect pet supplies.This pet food mat can prevent liquid from overflowing. Super absorbent and quick-drying ability to avoid wetting pet paws even for messy drinkers. Sturdy dog & cat food bowl mat cannot be torn easily and avoid eating by mistake. Keep the pet's eating environment tidy and clean. Keep Clean & No Stains：No marks will be left when food and water are dropped on the dog food mat. Unlike traditional silicone pet feeding mats, our pet feeding mat for food and water won't pick up pet hair or dust, and won't build up tough-to-clean limescale, keeping the dog bowl mat as good as new forever. Easy Clean & Easy Storage:After using this mat for a while, you just need to clean quickly just by rising.And just dry the bottom and put it into the next use.It can be rolled up for easy portability and space saving. An easy care pet accessories stuff for puppy dog or cat. Anti-Leakage & Anti-Slip: The 100% non-slip rubber backing keeps the dog placemat in place no matter how your pet pushes on it. The waterproof rubber bottom prevents water from penetrating the floor. Pet bowl mats for food and water will not cause the floor to be corroded and reduce the abrasion to the floor. Pet Supplies: This feeding & watering mat Suitable dog cat puppy or other pets. Not only can be used for pet food and water bowls or automatic feeders, but it can also be used as a special drying mat for pet bowls. Let your beloved pet have a whole set of exclusive supplies.",https://www.amazon.com/Mat-Absorbent-Dispenser-Accessories-Supplies-Dog-Drinkers/dp/B0BX5ZT7FN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.AdPrai-FEnkWqZkJj9V8SH-FitNX88HYPKpvemREOqH3EYimuZ9gy5jx5o3Un97B4N_JkGcZFTzryFvihVGefzhsRbJZ4fOcu0x2caZyyrKpNWamsfHmT713B7h6RO6sKnQT-j9udTSMnczvxej9Up2T-0MxF_vuWo2qOFvhxB1wRgMCKXSyf4agyVaL9ulp5BNZswukZC3JkCP4c-rSkkwtGrnaUB4fEi7zRvrKCyoCSyLwQ-I4Knl3-0obfAbOwgSOgCFbIqGes3SNtzM0WYK0zIYpTHIdFErQIz0ZQQ0.p5_kZwBYkwUAlPjAPo2N9q8URNe2oBk4qW6Rbkqgnxs&dib_tag=se&keywords=pet+supplies&qid=1746193844&sr=8-5
B0BYNF9GZS,"AIRROBO Dog Grooming Vacuum, Dog Grooming Kit,12000Pa Strong Pet Grooming Vacuum for Dogs, 2L Large Capacity Dog Vacuum for Shedding Grooming Hair, Dog Hair Vacuum, 5 Pet Grooming Tools, Quiet,PG100",Pet_Supplies,82.99,99.99,17.0,4.5,7672,"DOG GROOMING VACUUM with 12000PA STRONG SUCTION POWER- with a strong suction power of up to 12000pa, our dog grooming kit with vacuum function can suck up to 99% of pet hair into the dust box as you groom, preventing pet hair from spreading and creating a mess. Say goodbye to hair-covered furniture and hello to a tidy, fur-free home. LOW NOISE DESIGN & 3 ADJUSTABLE SUCTION LEVELS- Your pet will enjoy the dog hair vacuum. the lowest noise level is below 50dB, quieter than the vacuum cleaner, it won't scare your pet. it has 3 adjustable suction levels, and you can adjust it as per the comfort and size of your dog. MULTIPLE GUIDIE COMES - 6 different-sized guide combs(3mm & 6mm & 9mm & 12mm &18mm & 24mm) can be used to trim pet hair of different lengths. This allows you to achieve the perfect look for your pet, regardless of their hair length. LARGE CAPACITY DUST CUP-Our dog grooming vacuum for shedding comes with a large dust cup, which is large enough for even large dogs, there is no need to stop and empty it frequently while grooming and trimming, and the dust cup is so easy to empty- just pull the quick-release snap on the dust cup for touch-free emptying. EXPERIENCE PROFESSIONAL-QUALITY GROOMING EXPERIENCE at Home- Our 5-in-1 Pet Grooming Kit and vacuum has everything you need to groom dogs and cats and can give your pet a professional-quality grooming experience right in the comfort of your own home whether you have a long-haired or short-haired pet! Save you time and money on expensive trips to the groomer! 4.9FT DETACAHLE HOSE - 4.9FT(1.5m) extended hose can give you more flexibility to clean hard-to-reach areas and allow you to keep your pets far away from the motor noise, making it more suitable for sensitive or large pets. and the detachable design allows you to remove and replace it.",https://www.amazon.com/AIRROBO-Grooming-Capacity-Shedding-Groomer/dp/B0BYNF9GZS/ref=sr_1_7?dib=eyJ2IjoiMSJ9.AdPrai-FEnkWqZkJj9V8SH-FitNX88HYPKpvemREOqH3EYimuZ9gy5jx5o3Un97B4N_JkGcZFTzryFvihVGefzhsRbJZ4fOcu0x2caZyyrKpNWamsfHmT713B7h6RO6sKnQT-j9udTSMnczvxej9Up2T-0MxF_vuWo2qOFvhxB1wRgMCKXSyf4agyVaL9ulp5BNZswukZC3JkCP4c-rSkkwtGrnaUB4fEi7zRvrKCyoCSyLwQ-I4Knl3-0obfAbOwgSOgCFbIqGes3SNtzM0WYK0zIYpTHIdFErQIz0ZQQ0.p5_kZwBYkwUAlPjAPo2N9q8URNe2oBk4qW6Rbkqgnxs&dib_tag=se&keywords=pet+supplies&qid=1746193844&sr=8-7
B09BBM5CX8,"Best Pet Supplies Crinkle Dog Toy for Small, Medium, and Large Breeds, Cute No Stuffing Duck with Soft Squeaker, Fun for Indoor Puppies and Senior Pups, Plush No Mess Chew and Play - Yellow",Pet_Supplies,5.99,17.99,66.7,4.4,37680,"Premium Soft Chew Toys for Dogs - These adorable dog crinkle toys no stuffing ducks provide your four-legged best friend with an interactive chew toy that makes noise, keeps them engaged, and is gentler on teeth, gums, and dental health Cute and Colorful Duck Shape - Shaped like a real duck these dog crinkle toys for small dogs, medium dogs, and every size in between comes in 6 unique colors and provides a more puppy friendly shape that's easy to carry around No Fluff, No Mess Design - Unlike messy bones, ropes, or other toys for aggressive chewers these dog crinkle toys won't leave behind a mess after they're done playing. They also boast reinforced fabric and stitching to help them hold up to chewing Active Play, Tossing, and Retrieving - Our cute duck chew toys for dogs can be used for bonding with your puppy, reducing stress or separation anxiety, or simply giving them an active outlet for channeling aggression or intense play GREAT GIFT: Whether you’re looking for an exciting birthday, holiday or a just-because gift for your furbaby, you can’t go wrong with these incredibly fun dog toys. Click ‘Add to Cart’ now! Please note that our toys are not edible or meant for consumption.",https://www.amazon.com/Best-Pet-Supplies-Stuffing-Squeaker/dp/B09BBM5CX8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.AdPrai-FEnkWqZkJj9V8SH-FitNX88HYPKpvemREOqH3EYimuZ9gy5jx5o3Un97B4N_JkGcZFTzryFvihVGefzhsRbJZ4fOcu0x2caZyyrKpNWamsfHmT713B7h6RO6sKnQT-j9udTSMnczvxej9Up2T-0MxF_vuWo2qOFvhxB1wRgMCKXSyf4agyVaL9ulp5BNZswukZC3JkCP4c-rSkkwtGrnaUB4fEi7zRvrKCyoCSyLwQ-I4Knl3-0obfAbOwgSOgCFbIqGes3SNtzM0WYK0zIYpTHIdFErQIz0ZQQ0.p5_kZwBYkwUAlPjAPo2N9q8URNe2oBk4qW6Rbkqgnxs&dib_tag=se&keywords=pet+supplies&qid=1746193844&sr=8-8
B07ZPMYYZF,"Best Pet Supplies Pet Wipes for Dogs - Dog Wipes Cleaning Deodorizing, for Coats, Ears, Paws - Calming Lavender, Aloe Vera, 100 Count",Pet_Supplies,7.99,9.99,20.0,4.6,11410,"DEEP CLEANSING: Remove dirt from paws, ears, and other areas with dog grooming wipes. These dog wipes for paws and butt keep your pet's coat clean, reducing dryness, itchiness, and odors HYDRATING FORMULA: Lavender, Vitamin E, and cucumber extract in dog cleaning wipes nourish and hydrate DURABLE AND GENTLE: 8” x 9” dog cleaning wipes are durable against tough dirt yet gentle on sensitive areas VARIETY OF OPTIONS: Use dog grooming wipes in scented and unscented varieties to clean and deodorize. Dog wipes for face and butt leave pets refreshed from head to tail EASY-TO-CARRY PACKS: The compact, resealable pouch holds dog grooming wipes. Ideal for home or on the go, great for hikes or trips with these dog paw wipes",https://www.amazon.com/Best-Pet-Supplies-Plant-Based-Deodorizer/dp/B07ZPMYYZF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.AdPrai-FEnkWqZkJj9V8SH-FitNX88HYPKpvemREOqH3EYimuZ9gy5jx5o3Un97B4N_JkGcZFTzryFvihVGefzhsRbJZ4fOcu0x2caZyyrKpNWamsfHmT713B7h6RO6sKnQT-j9udTSMnczvxej9Up2T-0MxF_vuWo2qOFvhxB1wRgMCKXSyf4agyVaL9ulp5BNZswukZC3JkCP4c-rSkkwtGrnaUB4fEi7zRvrKCyoCSyLwQ-I4Knl3-0obfAbOwgSOgCFbIqGes3SNtzM0WYK0zIYpTHIdFErQIz0ZQQ0.p5_kZwBYkwUAlPjAPo2N9q8URNe2oBk4qW6Rbkqgnxs&dib_tag=se&keywords=pet+supplies&qid=1746193844&sr=8-9
B01IRO7WR4,"Pet MD - Dog Ear Cleaner Wipes - Otic Cleanser for Dogs to Stop Ear Itching, and Infections with Aloe and Eucalyptus - 100 Count",Pet_Supplies,14.99,,,4.6,60035,"Advanced Formulation Designed to Gently Clean, Deodorize and Dry Your Pets Ears Gentle and Safe for Regular Use which Prevents Ear Infections, Reduces Wax Build Up and Removes Debris in and Around the Ear 100 Convenient, Alcohol Free, Soothing and Non-Irritating Disposable Ear Wipes for Dogs. For Dogs Over 12 Weeks Old Reduce Foul Ear Odor and Prevents Infection to Keeps Your Dog Happy and Healthy without Medication Made in the USA in Federally Regulated Manufacturing Facilities to Ensure Quality and Safety",https://www.amazon.com/Pet-MD-Cleaner-Cleanser-Eucalyptus/dp/B01IRO7WR4/ref=sr_1_10?dib=eyJ2IjoiMSJ9.AdPrai-FEnkWqZkJj9V8SH-FitNX88HYPKpvemREOqH3EYimuZ9gy5jx5o3Un97B4N_JkGcZFTzryFvihVGefzhsRbJZ4fOcu0x2caZyyrKpNWamsfHmT713B7h6RO6sKnQT-j9udTSMnczvxej9Up2T-0MxF_vuWo2qOFvhxB1wRgMCKXSyf4agyVaL9ulp5BNZswukZC3JkCP4c-rSkkwtGrnaUB4fEi7zRvrKCyoCSyLwQ-I4Knl3-0obfAbOwgSOgCFbIqGes3SNtzM0WYK0zIYpTHIdFErQIz0ZQQ0.p5_kZwBYkwUAlPjAPo2N9q8URNe2oBk4qW6Rbkqgnxs&dib_tag=se&keywords=pet+supplies&qid=1746193844&sr=8-10
B0CK1MXC7J,"Veken Innovation Award Winner Stainless Steel Cat Water Fountain, 95oz/2.8L Automatic Pet Fountain Dog Water Dispenser with Replacement Filters & Silicone Mat for Cats, Dogs, Multiple Pets (Silver)",Pet_Supplies,35.99,39.99,10.0,4.3,8238,"Award-Winning Product. Veken is proud to be a 2024 Category Winner of the Pet Innovation Awards, an honor given to only the most forward-thinking products within the rapidly expanding Pet industry. Upgraded Stainless Steel. Opt for a stronger, more hygienic version of our best selling pet fountain. Dishwasher safe and BPA-free, our stainless steel design offers the elevated and modern look you want with additional benefits. Large Capacity Water Tank. Worry less about your furry friend running out of water. Our pet fountain features a generously sized water reserve tank to help you avoid frequent refilling, ensuring your pets are healthy, hydrated, and happy. Advanced 5-Stage Filtration. Our upgraded system with silver, scale inhibitors, and activated carbon delivers fresh, clean water for up to 3 weeks. For optimal performance and your pet’s health, we recommend using softened or filtered water. LED Light Feature. Illuminate your pet’s favorite drinking spot with our optional on/off light feature. Designed for assisted visibility of water level and fountain location, our gentle light is perfect for avoiding spills and easy refilling.",https://www.amazon.com/Veken-Innovation-Stainless-Automatic-Replacement/dp/B0CK1MXC7J/ref=sr_1_11?dib=eyJ2IjoiMSJ9.AdPrai-FEnkWqZkJj9V8SH-FitNX88HYPKpvemREOqH3EYimuZ9gy5jx5o3Un97B4N_JkGcZFTzryFvihVGefzhsRbJZ4fOcu0x2caZyyrKpNWamsfHmT713B7h6RO6sKnQT-j9udTSMnczvxej9Up2T-0MxF_vuWo2qOFvhxB1wRgMCKXSyf4agyVaL9ulp5BNZswukZC3JkCP4c-rSkkwtGrnaUB4fEi7zRvrKCyoCSyLwQ-I4Knl3-0obfAbOwgSOgCFbIqGes3SNtzM0WYK0zIYpTHIdFErQIz0ZQQ0.p5_kZwBYkwUAlPjAPo2N9q8URNe2oBk4qW6Rbkqgnxs&dib_tag=se&keywords=pet+supplies&qid=1746193844&sr=8-11
B08WH8BY8Y,"IRIS USA Dog Food Storage Container, 30 lbs & 11 lbs Combo, Cat Food Storage Container, Dog Treat Container, Airtight, Stackable, 2-Cup Scoop, Wheels, Easy Mobility, Black",Pet_Supplies,29.99,,,4.5,49979,"AIRTIGHT CONTAINER: Ensure your pet's food stays fresh with airtight seals and snap-lock latches, keeping moisture and humidity out. Lock in the freshness of dry food and treats while maintaining a neat and organized food storage area. CONTENTS: 11 lbs / 12 Qt storage container securely stacks on the 30 lbs / 33 Qt storage container, one matching 2-cup food scoop, and one set of wheels. Included scoop makes measuring food easy and attachable casters make it easy to roll it around. CLEAR CONTAINER BODY: The translucent body allows you to check the food level at just one glance. Quickly assess the remaining amount before heading to the pet store. VARIETY OF COLORS: Check out the variety of colored containers available to store your cute friend's kibbles, pellets, seeds, and treats. DIMENSIONS: 16.50""L x 10.83""W x 24.6""H (without casters 23""H). Made in the USA with global materials and used all around the world. BPA-free and FDA-compliant. Safe for you and your furry friend.",https://www.amazon.com/IRIS-USA-Inc-Container-500090/dp/B08WH8BY8Y/ref=sr_1_12?dib=eyJ2IjoiMSJ9.AdPrai-FEnkWqZkJj9V8SH-FitNX88HYPKpvemREOqH3EYimuZ9gy5jx5o3Un97B4N_JkGcZFTzryFvihVGefzhsRbJZ4fOcu0x2caZyyrKpNWamsfHmT713B7h6RO6sKnQT-j9udTSMnczvxej9Up2T-0MxF_vuWo2qOFvhxB1wRgMCKXSyf4agyVaL9ulp5BNZswukZC3JkCP4c-rSkkwtGrnaUB4fEi7zRvrKCyoCSyLwQ-I4Knl3-0obfAbOwgSOgCFbIqGes3SNtzM0WYK0zIYpTHIdFErQIz0ZQQ0.p5_kZwBYkwUAlPjAPo2N9q8URNe2oBk4qW6Rbkqgnxs&dib_tag=se&keywords=pet+supplies&qid=1746193844&sr=8-12
